sandi,no_izin,nama,tgl_jatuh_tempo_izin,npwp,modal_disetor,kpwdn,pulau,provinsi,kota,pengurus,pemegang_saham
777930075,22/275/Jkt/4,KSP Indosurya Cipta,,02.553.999.0-025.000,5375000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,Charly Crenna Darussallam; Mila Pertiwi Soeminto; Sonia,-
777930076,22/279/Jkt/5,Sunrate Commercial Services,01/01/0001,85.114.592.0-022.000,4131300000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Bao Han,Sunrate Partners UK Limited; Sunrate Solutions Limited
777930077,22/282/Jkt/6,ASIA PELANGI REMITEN,,80.888.251.0-011.000,100000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,MARZUKI LUBIS; ZULFADHLI LUBIS,Insinyur HERO EKONOMOSA A.P.M.COMP; MARZUKI LUBIS ; MUSLIM ISKANDAR MUHAMMAD; ZULFADHLI LUBIS
777930078,22/283/Jkt/7,Pelita Transfer Nusantara,01/01/0001,85.411.994.8-011.000,500000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,Crisman Wise Patuan Silaban,Crisman Wise Patuan Silaban; Joi Hansen Silaban; Pardiaman Silaban
777930079,22/287/Jkt/8,Indogo Express Remittance,,92.022.378.1-067.000,2510000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,"Ho, Ming - Che; Yang, Li-Yong","Digital Idea Multi-Media Co.,LTD; Ho, Ming - Che"
777930080,,UCE Global Utama,,76.271.399.8-503.000,600000000,KPwBI Provinsi Jawa Tengah,,,,Yusannie Chandra,Bambang Utomo; Theresia Halim; Yusannie Chandra
777930081,22/288/Jkt/9,Asia Fintek Teknologi,,84.747.813.8-074.000,10000000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Heldyanto; Ricardo Elias; Rudy Santoso; Siska Pranolo,Vincent Jaya Saputra; Yao Guo Jian
777930082,22/274/Yk/2,PT Indo Mandiri Remitten,,92.983.327.5-215.000,250000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,,
777930083,,BENUA ASIA ABADI,,91.372.157.7-215.000,500000000,KPwBI Provinsi Kepulauan Riau,,,,FANDIAS,FANDIAS; TANDIAS PANGESTU
777930084,,Harga Kurs Remit,,95.562.350.9-322.000,125000000,KPwBI Provinsi Lampung,,,,Mochtar Cakra,Indrianny Lukman; Mariska Sugianto; Mochtar Cakra; Sintikhe Sugianto
777930085,,SEN REMIT INDO,,94.946.109.9-215.000,250000000,KPwBI Provinsi Kepulauan Riau,,,,ADRIAN LUFTAN,ADRIAN LUFTAN; SEN SEN
777930086,,SUGEH ARTO REMITAN,,95.804.552.8-214.000,500000000,KPwBI Provinsi Kepulauan Riau,,,,Ryan Rinaldi,RYAN RINALDI; TRIYANTO
777930087,,HSS SUMBER REMITAN,,95.153.178.9-215.000,500000000,KPwBI Provinsi Kepulauan Riau,,,,Wendy Wiratama,Sovia; Wendy Wiratama
777930088,,MITRADANA SEJAHTERA REMITEN,,95.331.073.7-215.000,500000000,KPwBI Provinsi Kepulauan Riau,,,,DAVID,HERRY; JONO
777930089,23/294/Jkt/10,DHANAPATRA LOKA ABADI,01/01/0001,86.362.929.1-017.000,100000000,KPwBI Provinsi DKI Jakarta,,,,ASHA QUINTA SUNCAR; BAGUS WIDAYATMO,ANGGRAINI HAPSARITAMI; MAYA SULISTIAWATI
777930090,,Sugeh Makmur Remitan,,95.804.526.2-215.000,500000000,KPwBI Provinsi Kepulauan Riau,,,,Noviantoni,NOVIANTONI; Nur Afni Rahmadani Esya
777930091,,PASIFIK MITRA UTAMA REMITTANCE,,96.350.335.4-215.000,500000000,KPwBI Provinsi Kepulauan Riau,,,,FIKKO ADI PUTRA,DESY JULIATY; JASMINE FIDELIA
777930092,23/301/Jkt/11,Remit Ekspres Indonesia,01/01/0001,93.449.155.6-017.000,501000000,KPwBI Provinsi DKI Jakarta,,,,Irvan Yadi Bahfen; Mohammad Horison Khalasha,Haykel Widiasmoko; Irvan Yadi Bahfen
777930093,,GLOBAL SUKSES TRANSFERDANA,,91.263.972.1-215.000,250000000,KPwBI Provinsi Kepulauan Riau,,,,JUWIS,ARWI; JUWIS; TAN SIA MENG
777930094,,Inti Pratama Internasional,01/01/0001,92.861.965.9-033.000,250000000,KPwBI Provinsi DKI Jakarta,,,,Suerwin,Linus Hendara; Suerwin
777930095,,Sukses Bersama Permata,,80.521.318.8-922.000,250000000,KPwBI Provinsi Nusa Tenggara Timur,,,,HENDI JUANTO,CHANDRA SENTOSA; HENDI JUANTO
777930096,,Wise Payments Indonesia,,90.339.519.2-076.000,2500000000,KPwBI Provinsi DKI Jakarta,,,,Yenny Sjah,TransferWise Ltd.; Wise Asia-Pacific Pte. Ltd.
777930097,21/305/DKI/B/15-000,PT MONETA PEMBAYARAN TEKNOLOGI,01/01/0001,95.076.613.9-036.000,2500000000,KPwBI Provinsi DKI Jakarta,,,,HERLIN HARTATI,HERLIN HARTATI; YENTI YUSTIANA
777930098,21/310/Bd/B/10-001,Kirim Uang Indonesia,05/10/2026,93.495.424.9-405.000,1000000000,KPwBI Provinsi Jawa Barat,Jawa,Provinsi Jawa Barat,Kab. Sukabumi,Dharma Yasa Jayanto,Dharma Yasa Jayanto; Theresia Jayanto
777930099,,PT DIGITAL SOLUSI PRATAMA,01/01/0001,92.636.426.6-416.000,10000000000,KPwBI Provinsi Banten,,,,Cosmas Setiawan Suwono; Wendy Wiradjaja,PT Investasi Pratama Digital; PT Rintis Sejahtera
777930100,21/311/Jkt/B/17-001,GIAT BANGUN INDONESIA,01/01/0001,41.620.984.9-064.000,1625000000,KPwBI Provinsi DKI Jakarta,,,,Muhammad Andriyanto,Joey Christian Siddharta; kenny
777930101,23/312/Yk/B/4-001,Bintang Utara Nusantara,18/10/2026,94.284.237.8-542.000,500000000,KPwBI D.I. Yogyakarta,Jawa,Provinsi Daerah Istimewa Yogyakarta,Kab. Sleman,Ignatius Adhi Kristian; JUFRI RAMADHAN SINURAT; RIA PATAR CARNEGIE,JUFRI RAMADHAN SINURAT; RIA PATAR CARNEGIE; ROTUA REALITA SINURAT
777930102,,Top Dolar Remitan,,95.874.317.1-215.000,500000000,KPwBI Provinsi Kepulauan Riau,,,,Hanifah Putri Saufi,Harnaso; Willi Wandira
777930103,,Silot Technology Indonesia,,92.164.865.5-022.000,2500000000,KPwBI Provinsi DKI Jakarta,,,,Li Bochen,Silot Hong Kong Ltd; Silot PTE LTD
777930104,,Paramas Murni Jaya,,93.450.464.8-026.000,1000000000,KPwBI Provinsi DKI Jakarta,,,,Mellya Husin,Emil Chandra; Mellya Husin; Swandra Chandra
777930105,24/318/Jkt/B/19-001,Achilles Financial Systems,01/01/0001,03.264.904.8-011.000,2829900000,KPwBI Provinsi DKI Jakarta,,,,Charles Guinot,Achilles FInancial Systems Pte. Ltd; Achilles Systems Pte. Ltd
777930106,,KREIGAN DIGITAL WESEL,01/01/0001,94.284.117.2-416.000,3000000000,KPwBI Provinsi Banten,,,,Stepanus Hermawan,Eric Lasac Pardede; Kreigan sentral teknologi; PT. Satu Solusi Dompet Indonesia
777930107,24/14/Jkt/Srt/B,NANDY DANA EKSPRES,01/01/0001,93.048.234.4-034.000,125000000,KPwBI Provinsi DKI Jakarta,,,,STEPHANY,INDRA; TJIOE VALLENTZ
777930108,,Pundimas Sentral Dana,,86.450.444.4-063.000,100000000,KPwBI Provinsi DKI Jakarta,,,,Stella Lesmana,Stevenson Wahjudi; Tjoeng Fie Tjen
777930109,,Berkah Digital Pembayaran,,42.072.403.1-618.000,5000000000,KPwBI Provinsi Jawa Timur,,,,Adriansyah; Andri Pribadi Wiriasto,"Adriansyah; Drs. H. Soemartono, MM; Juniarni Mawardah; Lia Nawang Sari; Muchlis"
777930110,,SAHABAT KIRIM DIGITAL,01/01/0001,42.499.659.3-451.000,2500000000,KPwBI Provinsi Banten,,,,YOGA CHANDRA SUDEWO,SONYA FELICIA; YOGA CHANDRA SUDEWO
777930111,,DIGITAL TRANSFER INDONESIA,,95.442.241.6-905.000,250000000,KPwBI Provinsi Bali,,,,BINSAR HASIHOLAN TAMPUBOLON,BINSAR HASIHOLAN TAMPUBOLON; MULIANA HIDAJAT; RUTH BINAWATY G LUMBANTOBING
777930114,,INDO BEST UTAMA REMITTANCE,,60.738.793.3-215.000,500000000,KPwBI Provinsi Kepulauan Riau,,,,SHERLY,FIKKO ADI PUTRA; JASMINE FIDELIA; SHERLY; WIE LIANG
777930115,25/340/Jkt/B/30-001,Brankas Teknologi Indonesia,01/01/0001,83.275.051.7-016.000,10125000000,KPwBI Provinsi DKI Jakarta,,,,Kenneth Shane Nils Shaw,Brankas Pte Ltd; PT Duta Amanat Indonesia
777930129,,Sinergi Transaksi Teknologi Indonesia,,40.408.023.6-503.000,2500000000,KPwBI Provinsi Jawa Tengah,,,,Malvin Agusto Sulistyo,Malvin Agusto Sulistyo; Martin Julio Sulistyo
777951823,14/112/DASP/46,Sumber Alfaria Trijaya,,01.336.238.9-054.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi Banten,Kota Tangerang,,
777952522,12/47/DASP/12,Pegadaian,,01.001.668.1-093.001,6250000000001,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Damar Latri Setiawan1; Gunawan Sulistyo1; Harianto Widodo1; Kuswiyoto1; Moh. Edi Isdwiarto1; Ninis Kesuma Adriani1; Teguh Wahyono1,Negara Republik Indonesia; PT Bank Rakyat Indonesia Tbk
777953362,13/88/Bd/4,PT Pos Indonesia,27/12/2026,01.001.620.2-093.000,455023000000,KPwBI Provinsi Jawa Barat,Jawa,Provinsi Jawa Barat,Kota Bandung,Endy Pattia R. A.; Faizal Rochmad Djoemadi; Hariadi; Haris; Prasabri Pesti; Siti Choiriana; Tonggo Marbun,Pemerintah Republik Indonesia
777953739,11/39/DASP/8,VIP Remittance,,02.534.526.5-008.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777957798,13/92/DASP/38,Mobile Coin Asia,,03.078.956.4-013.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,,
777958110,11/5/DASP/2,PT Syaftraco (d/h CV. Syaftraco),,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,,
777958111,11/6/DASP/3,AGUNG REMITTANCE GLOBAL,,01.949.109.1-016.000,6000000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,AGUNG PRIBUMI; SYAFRI FAUZIATY,AGUNG PRIBUMI; NIZARWAN NAWAS; SYAFRI FAUZIATY
777958112,11/8/Btm/3,Able Remittance,,02.903.217.4-036.000,250000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Barat,Jesslyn Tania,Jesslyn Tania; Karolin Lestari
777958113,11/14/DASP/4,Tiki Jalur Nugraha Ekakurir,,10.539.710.2-038.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Barat,,
777958114,No.11/15/DASP/5,Pacto,,01.308.540.2-014.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777958115,11/30/DASP/6,Eka Bakti Amerta Yoga Sejahtera,,02.534.526.5-008.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Timur,,
777958116,11/31/DASP/7,Indomarco Prismatama,,01.337.994.6-092.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Utara,,
777958117,11/41/DASP/9,Dhasatra Moneytransfer,,02.671.838.7-011.000,1000000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,GARICK FISHER HARIYANTO; IR. DANIL TINTO HENDRA; NICOLAS RUDYANTO DHARMAWAN; SJAMSUL HERIJANTO,NICOLAS RUDYANTO DHARMAWAN; PT. Indoportal Internasional Indonesia
777958118,12/42/DASP/10,Priority Valasindo,,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi Banten,Kota Tangerang,,
777958119,12/46/DASP/11,Artha Semesta Utama,,02.979.109.2-014.000,1000000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Bagus Widayatmo,Bagus Widayatmo; Mohamad Wisya Aditama
777958121,12/51/DASP/15,Berkat Gerizim,,02.860.756.2-032.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Barat,,
777958122,12/54/DASP/17,Adisena Mitra Usaha,,02.155.482.9-411.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,,
777958123,12/55/DASP/18,Kangaroo Ausindo,,02.143.303.2-019.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,,
777958124,12/56/DASP/19,Wintrust Indonesia,,02.681.982.1-041.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777958125,12/57/DASP/20,MM Indonesia,,02.991.785.3-012.000,600000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Amos Xavier Djajasaputra; Sri Chandra Yasmina,F. Salika Pratama F; Sri Chandra Yasmina
777958127,12/65/DASP/24,Prima Express Remit,,02.838.874.2-086.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Barat,,
777958129,12/72/DASP/27,Aryadana,,31.698.640.5-002.000,500000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Timur,Hari Sobari,Hari Sobari; Nuraeni
777958130,13/73/DASP/28,Uang Kita,,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777958131,13/77/DASP/30,Indo Koala Remittance,,02.995.454.2-005.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,,
777958132,13/82/DASP/32,GPL Remittance Indonesia,,03.089.657.5-032.000,2238250000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Barat,KENNY LEO; MUHAMMAD FARVEZ,GPL WORLDWIDE PTE LTD; KENNY LEO
777958138,14/98/DASP/41,First Money,,03.037.174.4-023.000,10000000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Randyaz Iskandar; Shu Jianqin; Xu Zheng,Justisiari Kusumah; PT Mana Technolgy Indonesia
777958140,11/2/Pwt/1,Mahkota Cahaya Mulia Abadi (d/h CV. Cahaya Mulia Abadi),,,0,KPwBI Purwokerto,Jawa,Provinsi Jawa Tengah,Kab. Cilacap,,
777958141,11/9/Ml/1,Dana Sukses Abadi (d/h CV. Toyo Remittance Co),,31.795.060.8-623.000,0,KPwBI Malang,Jawa,Provinsi Jawa Timur,Kota Malang,,
777958143,11/11/Mdn/1,Top Remit,,02.744.767.1-121.000,600000000,KPwBI Provinsi Sumatera Utara,Sumatera,Provinsi Sumatera Utara,Kota Medan,Denny Sutomo; Erwin; Hariatno Widjaja; Henry Wirawan; Hermanto,Hariatno Widjaja; Henry Wirawan; Hermanto; Sumarni Sumarto
777958145,11/13/Mdn/3,Global Remit,,02.749.343.6-111.000,5000000000,KPwBI Provinsi Sumatera Utara,Sumatera,Provinsi Sumatera Utara,Kota Medan,Edward Jan; Kho Lucy Widjanarko,Hadiyono Kosasih; Edward Jan; Kosim Kosasih
777958146,11/18/Btm/5,Global Remittance Services,,29.035.953.2-150.00_,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Hendra,Hendra; Indra
777958147,11/20/Cn/1,Rafana Remitindo (d/h CV. Rafana),,21.041.009.8-426.000,1500000000,KPwBI Cirebon,Jawa,Provinsi Jawa Barat,Kab. Cirebon,Rizky Afrian,Hajjah Nuniek Suniani; Rizky Afrian
777958148,11/24/Dpr/1,Remiten Indonesia,,,0,KPwBI Provinsi Bali,Bali-Nusra,Provinsi Bali,Kab. Badung,,
777958149,11/25/PTK/2,Gemilang Cipta Pratama Express,,,0,KPwBI Provinsi Kalimantan Barat,Kalimantan,Provinsi Kalimantan Barat,Kota Pontianak,,
